text,emotion_label,strategy,reaction,echo_text,confidence_band,top1,margin,entropy,calibration_temp,effective_temperature,p_emotion_first,p_echo_first,p_bridge,p_neutral_minimal
I just got promoted at work and I feel amazing.,positive,echo_first,Got it—,work?,high,0.8252,0.6917,0.4206,1.05,0.945,0.499686,0.219773,0.214311,0.06623
I am proud of what I finished today.,positive,emotion_first,That’s great.,today?,high,0.8978,0.8221,0.2916,1.05,0.945,0.605721,0.217759,0.134365,0.042155
I am really upset because my best friend ignored me.,negative,bridge,I’m here—,friend?,high,0.8711,0.7963,0.3498,1.05,0.945,0.569802,0.221088,0.159069,0.050042
I feel anxious about tomorrow's interview.,negative,emotion_first,I hear you.,interview?,high,0.8466,0.7715,0.3961,1.05,0.945,0.537296,0.222618,0.182514,0.057572
I feel confused and not sure what to do.,ambiguous,bridge,I’m here—,,high,0.851,0.7511,0.3821,1.05,0.945,0.38652,0.142614,0.375904,0.094963
I don't know whether this is good or bad.,ambiguous,bridge,I hear you—,,high,0.8011,0.6908,0.4808,1.05,0.945,0.303819,0.128801,0.452855,0.114525
Everything is normal and calm today.,positive,emotion_first,That’s great.,today?,medium,0.6914,0.5569,0.6687,1.05,0.945,0.307181,0.19286,0.380501,0.119458
I uploaded three files and updated the report.,positive,echo_first,"Right, on that—",report?,low,0.5056,0.2511,0.8026,1.05,0.945,0.138291,0.127695,0.559422,0.174593
Can you explain this one more time?,ambiguous,neutral_minimal,Go ahead.,,medium,0.5529,0.2421,0.7208,1.05,0.945,0.069642,0.184476,0.622445,0.123438
Should I share today's results with the team?,ambiguous,bridge,I’m here—,team?,medium,0.5293,0.2049,0.7491,1.05,0.945,0.060447,0.169318,0.642899,0.127336
I am drinking water and reading emails right now.,positive,bridge,I’m here—,emails?,low,0.4273,0.1352,0.8397,1.05,0.945,0.097548,0.10438,0.607519,0.190553
That was a wonderful surprise for me.,positive,echo_first,"Okay, about that—",surprise?,medium,0.6237,0.2762,0.5634,1.05,0.945,0.251346,0.1707,0.445808,0.132145
I am angry because my work got rejected.,negative,emotion_first,That’s great.,work?,high,0.9237,0.8839,0.2388,1.05,0.945,0.643675,0.213707,0.108233,0.034385
I feel relieved that the surgery ended well.,positive,emotion_first,That sounds rough.,surgery?,high,0.8319,0.7268,0.4297,1.05,0.945,0.507617,0.221005,0.206872,0.064506
I am not sure if I should continue this relationship.,ambiguous,emotion_first,I hear you.,relationship?,medium,0.5801,0.3373,0.7305,1.05,0.945,0.087966,0.130771,0.649897,0.131366
The meeting is at 3 PM and I need a checklist.,negative,bridge,I hear you—,checklist?,low,0.4132,0.097,0.8261,1.05,0.945,0.092868,0.101122,0.614184,0.191826
I feel lonely even when people are around me.,negative,emotion_first,Nice.,people?,high,0.8109,0.7014,0.4634,1.05,0.945,0.47899,0.219988,0.229401,0.071621
I am excited about the new project launch.,positive,emotion_first,I hear you.,launch?,high,0.8572,0.7524,0.3683,1.05,0.945,0.547664,0.220861,0.176513,0.054962
Could you help me prioritize tomorrow's tasks?,ambiguous,bridge,I hear you—,tasks?,low,0.4762,0.2119,0.8027,1.05,0.945,0.050061,0.154966,0.65948,0.135493
Today was just an ordinary day.,positive,bridge,Right—,day?,low,0.5732,0.3749,0.8191,1.05,0.945,0.173421,0.144663,0.51964,0.162276
I keep failing and I want to give up.,negative,emotion_first,I hear you.,,high,0.8195,0.7102,0.4426,1.05,0.945,0.547629,0.116832,0.242157,0.093382
I am curious about this research idea.,ambiguous,echo_first,"Okay, about that—",idea?,medium,0.7327,0.5167,0.5269,1.05,0.945,0.196877,0.203983,0.499694,0.099445
Is this sentence natural in English?,ambiguous,bridge,I hear you—,English?,medium,0.7349,0.5757,0.5707,1.05,0.945,0.171594,0.305608,0.434657,0.08814
I changed the schedule and saved the test logs.,positive,echo_first,"Right, on that—",logs?,medium,0.6132,0.4219,0.7189,1.05,0.945,0.227171,0.167333,0.461315,0.144181
