condition_id,policy,slowtrack_load_profile,frontend_profile,scenario_profile,turns,fasttrack_enabled,first_response_ready_ms_n,first_response_ready_ms_mean_ms,first_response_ready_ms_median_ms,first_response_ready_ms_p25_ms,first_response_ready_ms_p75_ms,first_response_ready_ms_p95_ms,first_response_ready_ms_min_ms,first_response_ready_ms_max_ms,first_response_ready_ms_p_lt_100ms,first_response_ready_ms_p_lt_500ms,first_response_ready_ms_p_gt_2000ms,fasttrack_ready_ms_n,fasttrack_ready_ms_mean_ms,fasttrack_ready_ms_median_ms,fasttrack_ready_ms_p25_ms,fasttrack_ready_ms_p75_ms,fasttrack_ready_ms_p95_ms,fasttrack_ready_ms_min_ms,fasttrack_ready_ms_max_ms,fasttrack_ready_ms_p_lt_100ms,fasttrack_ready_ms_p_lt_500ms,fasttrack_ready_ms_p_gt_2000ms,slowtrack_compute_ms_n,slowtrack_compute_ms_mean_ms,slowtrack_compute_ms_median_ms,slowtrack_compute_ms_p25_ms,slowtrack_compute_ms_p75_ms,slowtrack_compute_ms_p95_ms,slowtrack_compute_ms_min_ms,slowtrack_compute_ms_max_ms,slowtrack_compute_ms_p_lt_100ms,slowtrack_compute_ms_p_lt_500ms,slowtrack_compute_ms_p_gt_2000ms,full_answer_ready_ms_n,full_answer_ready_ms_mean_ms,full_answer_ready_ms_median_ms,full_answer_ready_ms_p25_ms,full_answer_ready_ms_p75_ms,full_answer_ready_ms_p95_ms,full_answer_ready_ms_min_ms,full_answer_ready_ms_max_ms,full_answer_ready_ms_p_lt_100ms,full_answer_ready_ms_p_lt_500ms,full_answer_ready_ms_p_gt_2000ms,hidden_latency_ms_n,hidden_latency_ms_mean_ms,hidden_latency_ms_median_ms,hidden_latency_ms_p25_ms,hidden_latency_ms_p75_ms,hidden_latency_ms_p95_ms,hidden_latency_ms_min_ms,hidden_latency_ms_max_ms,hidden_latency_ms_p_lt_100ms,hidden_latency_ms_p_lt_500ms,hidden_latency_ms_p_gt_2000ms,donation_readout_tts_ms_n,donation_readout_tts_ms_mean_ms,donation_readout_tts_ms_median_ms,donation_readout_tts_ms_p25_ms,donation_readout_tts_ms_p75_ms,donation_readout_tts_ms_p95_ms,donation_readout_tts_ms_min_ms,donation_readout_tts_ms_max_ms,donation_readout_tts_ms_p_lt_100ms,donation_readout_tts_ms_p_lt_500ms,donation_readout_tts_ms_p_gt_2000ms
c001_grounded_current_prompt_backend_ready_chat_only,grounded,current_prompt,backend_ready,chat_only,4000,1,4000,56.152,27.578,23.517,30.972,288.844,11.514,292.745,0.88575,1.0,0.0,4000,52.522,24.289,21.125,25.729,284.923,11.119,285.258,0.88575,1.0,0.0,4000,2448.178,2446.294,2350.669,2543.806,2682.013,1932.756,3002.089,0.0,0.0,0.99975,4000,2451.809,2450.482,2353.949,2547.417,2686.284,1934.539,3007.419,0.0,0.0,0.99975,4000,2395.656,2402.571,2291.444,2507.941,2650.957,1774.335,2976.816,0.0,0.0,0.9875,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c002_grounded_current_prompt_backend_ready_donation_mix,grounded,current_prompt,backend_ready,donation_mix,4000,1,4000,53.787,27.604,23.733,31.176,288.359,11.348,292.708,0.89575,1.0,0.0,4000,50.181,24.289,21.125,25.74,284.849,11.119,285.258,0.89575,1.0,0.0,4000,2447.183,2444.912,2351.398,2539.659,2684.253,2003.415,3037.334,0.0,0.0,1.0,4000,2450.788,2448.865,2354.949,2543.131,2686.413,2007.197,3038.851,0.0,0.0,1.0,4000,2397.002,2403.45,2296.553,2504.503,2654.794,1774.391,3011.753,0.0,0.0,0.98625,4000,204.284,0.0,0.0,477.696,533.738,0.0,533.738,0.55975,0.909,0.0
c003_grounded_current_prompt_local_browser_chat_only,grounded,current_prompt,local_browser,chat_only,4000,1,4000,103.689,76.128,63.711,91.76,337.702,33.103,374.118,0.826,1.0,0.0,4000,51.998,24.289,21.125,25.729,284.849,11.119,285.258,0.88825,1.0,0.0,4000,2450.745,2447.146,2351.228,2545.665,2685.152,1902.164,2931.34,0.0,0.0,0.99975,4000,2502.436,2501.2,2403.325,2598.314,2736.85,1949.097,3006.235,0.0,0.0,0.99975,4000,2398.748,2404.691,2296.842,2512.446,2656.099,1837.334,2907.517,0.0,0.0,0.98325,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c004_grounded_current_prompt_local_browser_donation_mix,grounded,current_prompt,local_browser,donation_mix,4000,1,4000,104.306,75.978,63.898,92.24,338.389,32.014,371.442,0.824,1.0,0.0,4000,52.597,24.289,21.027,25.729,284.923,11.119,285.258,0.8855,1.0,0.0,4000,2447.238,2442.672,2349.471,2539.599,2691.12,1993.281,2943.681,0.0,0.0,0.9995,4000,2498.947,2494.194,2399.183,2592.604,2744.643,2023.306,2984.242,0.0,0.0,1.0,4000,2394.641,2400.048,2291.103,2504.371,2661.214,1764.753,2919.727,0.0,0.0,0.98325,4000,210.299,0.0,0.0,477.696,533.738,0.0,533.738,0.54875,0.90575,0.0
c005_grounded_current_prompt_capture_stress_chat_only,grounded,current_prompt,capture_stress,chat_only,4000,1,4000,221.991,196.603,165.57,238.976,452.966,95.257,559.671,0.001,0.98275,0.0,4000,52.257,24.322,21.125,25.729,284.923,11.119,285.258,0.88725,1.0,0.0,4000,2449.727,2449.561,2351.263,2544.422,2685.206,1983.871,2943.965,0.0,0.0,0.9995,4000,2619.46,2618.184,2516.562,2720.334,2865.33,2118.061,3114.314,0.0,0.0,1.0,4000,2397.47,2403.783,2295.387,2510.713,2652.82,1783.656,2918.236,0.0,0.0,0.98525,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c006_grounded_current_prompt_capture_stress_donation_mix,grounded,current_prompt,capture_stress,donation_mix,4000,1,4000,222.723,196.142,166.183,239.296,459.429,93.853,557.088,0.0025,0.98375,0.0,4000,53.14,24.322,21.027,25.729,284.849,11.119,285.258,0.8835,1.0,0.0,4000,2454.014,2453.216,2358.984,2548.403,2686.509,1999.551,3009.675,0.0,0.0,0.99975,4000,2623.597,2623.742,2524.74,2719.897,2860.963,2129.121,3213.95,0.0,0.0,1.0,4000,2400.874,2408.32,2297.712,2512.74,2657.187,1787.812,2985.386,0.0,0.0,0.98725,4000,211.143,0.0,0.0,477.696,533.738,0.0,533.738,0.547,0.9035,0.0
c007_grounded_expanded_memory_backend_ready_chat_only,grounded,expanded_memory,backend_ready,chat_only,4000,1,4000,54.876,27.579,23.538,31.181,288.426,11.362,292.804,0.891,1.0,0.0,4000,51.252,24.289,21.125,25.729,284.923,11.119,285.258,0.891,1.0,0.0,4000,3448.336,3441.122,3300.708,3588.643,3797.184,2655.805,4186.7,0.0,0.0,1.0,4000,3451.959,3445.156,3305.32,3593.343,3802.437,2661.075,4188.53,0.0,0.0,1.0,4000,3397.083,3395.215,3248.18,3549.471,3762.437,2370.762,4175.292,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c008_grounded_expanded_memory_backend_ready_donation_mix,grounded,expanded_memory,backend_ready,donation_mix,4000,1,4000,55.098,27.623,23.629,31.334,288.584,11.615,292.82,0.89075,1.0,0.0,4000,51.409,24.262,21.027,25.775,284.849,11.119,285.258,0.89075,1.0,0.0,4000,3446.82,3442.468,3301.292,3589.323,3794.718,2801.931,4311.245,0.0,0.0,1.0,4000,3450.509,3446.662,3305.437,3593.039,3797.875,2806.012,4312.07,0.0,0.0,1.0,4000,3395.411,3395.26,3245.379,3550.079,3762.655,2575.925,4286.103,0.0,0.0,1.0,4000,199.488,0.0,0.0,477.696,533.738,0.0,533.738,0.56975,0.919,0.0
c009_grounded_expanded_memory_local_browser_chat_only,grounded,expanded_memory,local_browser,chat_only,4000,1,4000,101.965,75.395,63.384,91.13,335.505,31.72,371.749,0.834,1.0,0.0,4000,50.598,24.289,21.283,25.729,284.849,11.119,285.258,0.894,1.0,0.0,4000,3442.303,3438.441,3303.942,3583.737,3776.511,2776.984,4277.442,0.0,0.0,1.0,4000,3493.67,3490.537,3351.699,3634.678,3829.802,2815.733,4349.914,0.0,0.0,1.0,4000,3391.706,3393.42,3243.845,3541.681,3746.625,2655.592,4264.669,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c010_grounded_expanded_memory_local_browser_donation_mix,grounded,expanded_memory,local_browser,donation_mix,4000,1,4000,101.136,76.038,63.908,91.143,334.208,32.778,374.163,0.836,1.0,0.0,4000,49.526,24.289,21.125,25.655,284.849,11.119,285.258,0.89775,1.0,0.0,4000,3446.957,3443.498,3306.925,3583.832,3791.497,2669.494,4245.758,0.0,0.0,1.0,4000,3498.566,3494.76,3359.003,3636.415,3847.186,2719.471,4291.505,0.0,0.0,1.0,4000,3397.431,3398.559,3256.283,3545.392,3756.948,2657.742,4222.163,0.0,0.0,1.0,4000,209.258,0.0,0.0,477.696,533.738,0.0,533.738,0.55125,0.90475,0.0
