policy,slowtrack_load_profile,frontend_profile,scenario_profile,module,n,mean_ms,median_ms,p25_ms,p75_ms,p95_ms,min_ms,max_ms
emotion_only,current_prompt,backend_ready,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,backend_ready,chat_only,fasttrack_analysis_ms,4000,13.475,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,current_prompt,backend_ready,chat_only,fasttrack_audio_lookup_ms,4000,1.684,1.62,1.443,1.808,2.046,1.341,2.046
emotion_only,current_prompt,backend_ready,chat_only,frontend_audio_overhead_ms,4000,3.645,3.494,2.443,4.793,6.543,0.045,7.876
emotion_only,current_prompt,backend_ready,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,backend_ready,chat_only,slowtrack_llm_ms,4000,1486.385,1491.283,1411.0,1566.923,1676.91,1093.328,1861.878
emotion_only,current_prompt,backend_ready,chat_only,slowtrack_tts_ms,4000,816.089,811.675,759.407,867.388,954.546,567.975,1108.249
emotion_only,current_prompt,backend_ready,donation_mix,donation_emotion_motion_ms,1796,0.012,0.011,0.01,0.013,0.014,0.01,0.014
emotion_only,current_prompt,backend_ready,donation_mix,donation_readout_tts_ms,1796,484.433,446.238,446.238,509.413,558.604,427.54,558.604
emotion_only,current_prompt,backend_ready,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,backend_ready,donation_mix,fasttrack_analysis_ms,4000,13.5,13.435,12.753,13.807,15.146,12.385,15.146
emotion_only,current_prompt,backend_ready,donation_mix,fasttrack_audio_lookup_ms,4000,1.693,1.62,1.474,1.808,2.046,1.341,2.046
emotion_only,current_prompt,backend_ready,donation_mix,frontend_audio_overhead_ms,4000,3.714,3.559,2.468,4.919,6.677,0.128,7.942
emotion_only,current_prompt,backend_ready,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,backend_ready,donation_mix,slowtrack_llm_ms,4000,1485.396,1492.121,1411.573,1568.533,1672.596,1024.458,1895.379
emotion_only,current_prompt,backend_ready,donation_mix,slowtrack_tts_ms,4000,815.252,810.853,761.033,863.574,953.883,600.898,1099.227
emotion_only,current_prompt,capture_stress,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,capture_stress,chat_only,fasttrack_analysis_ms,4000,13.511,13.435,12.753,14.666,15.146,12.385,15.146
emotion_only,current_prompt,capture_stress,chat_only,fasttrack_audio_lookup_ms,4000,1.7,1.781,1.474,2.036,2.046,1.341,2.046
emotion_only,current_prompt,capture_stress,chat_only,frontend_audio_overhead_ms,4000,169.747,166.096,138.02,200.108,243.947,81.588,278.488
emotion_only,current_prompt,capture_stress,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,capture_stress,chat_only,slowtrack_llm_ms,4000,1484.301,1492.299,1412.791,1560.468,1667.536,1057.832,1865.934
emotion_only,current_prompt,capture_stress,chat_only,slowtrack_tts_ms,4000,817.223,812.984,762.591,867.008,957.882,575.173,1076.32
emotion_only,current_prompt,capture_stress,donation_mix,donation_emotion_motion_ms,1816,0.012,0.011,0.011,0.014,0.014,0.01,0.014
emotion_only,current_prompt,capture_stress,donation_mix,donation_readout_tts_ms,1816,483.933,446.238,427.54,509.413,558.604,427.54,558.604
emotion_only,current_prompt,capture_stress,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,capture_stress,donation_mix,fasttrack_analysis_ms,4000,13.523,13.435,12.753,14.666,15.146,12.385,15.146
emotion_only,current_prompt,capture_stress,donation_mix,fasttrack_audio_lookup_ms,4000,1.695,1.62,1.474,2.036,2.046,1.341,2.046
emotion_only,current_prompt,capture_stress,donation_mix,frontend_audio_overhead_ms,4000,170.107,165.401,139.776,199.806,245.547,83.221,278.555
emotion_only,current_prompt,capture_stress,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,capture_stress,donation_mix,slowtrack_llm_ms,4000,1482.054,1489.798,1408.681,1563.115,1670.65,1031.093,1842.476
emotion_only,current_prompt,capture_stress,donation_mix,slowtrack_tts_ms,4000,817.016,813.345,764.99,864.026,953.512,600.645,1079.663
emotion_only,current_prompt,local_browser,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,local_browser,chat_only,fasttrack_analysis_ms,4000,13.49,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,current_prompt,local_browser,chat_only,fasttrack_audio_lookup_ms,4000,1.69,1.62,1.443,1.808,2.046,1.341,2.046
emotion_only,current_prompt,local_browser,chat_only,frontend_audio_overhead_ms,4000,51.674,50.397,40.846,62.135,77.722,20.856,89.433
emotion_only,current_prompt,local_browser,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,local_browser,chat_only,slowtrack_llm_ms,4000,1485.443,1490.999,1411.384,1566.165,1671.77,1018.414,1879.901
emotion_only,current_prompt,local_browser,chat_only,slowtrack_tts_ms,4000,816.967,813.575,763.678,864.903,951.467,596.207,1106.715
emotion_only,current_prompt,local_browser,donation_mix,donation_emotion_motion_ms,1762,0.012,0.011,0.01,0.013,0.014,0.01,0.014
emotion_only,current_prompt,local_browser,donation_mix,donation_readout_tts_ms,1762,486.725,509.413,446.238,558.604,558.604,427.54,558.604
emotion_only,current_prompt,local_browser,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,local_browser,donation_mix,fasttrack_analysis_ms,4000,13.477,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,current_prompt,local_browser,donation_mix,fasttrack_audio_lookup_ms,4000,1.69,1.62,1.443,1.808,2.046,1.341,2.046
emotion_only,current_prompt,local_browser,donation_mix,frontend_audio_overhead_ms,4000,51.864,50.37,41.201,61.52,77.711,20.699,89.549
emotion_only,current_prompt,local_browser,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,current_prompt,local_browser,donation_mix,slowtrack_llm_ms,4000,1485.435,1489.578,1412.752,1566.772,1673.043,1035.113,1941.033
emotion_only,current_prompt,local_browser,donation_mix,slowtrack_tts_ms,4000,816.917,813.285,760.93,866.918,952.391,602.542,1099.878
emotion_only,expanded_memory,backend_ready,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,expanded_memory,backend_ready,chat_only,fasttrack_analysis_ms,4000,13.468,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,expanded_memory,backend_ready,chat_only,fasttrack_audio_lookup_ms,4000,1.693,1.781,1.474,1.808,2.046,1.341,2.046
emotion_only,expanded_memory,backend_ready,chat_only,frontend_audio_overhead_ms,4000,3.684,3.567,2.478,4.869,6.538,0.05,7.883
emotion_only,expanded_memory,backend_ready,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,expanded_memory,backend_ready,chat_only,slowtrack_llm_ms,4000,2373.568,2383.694,2261.589,2503.276,2670.066,1633.811,2949.274
emotion_only,expanded_memory,backend_ready,chat_only,slowtrack_tts_ms,4000,898.94,892.439,838.001,955.412,1050.007,673.311,1198.239
emotion_only,expanded_memory,backend_ready,donation_mix,donation_emotion_motion_ms,1804,0.012,0.013,0.011,0.013,0.014,0.01,0.014
emotion_only,expanded_memory,backend_ready,donation_mix,donation_readout_tts_ms,1804,485.112,509.413,427.54,509.413,558.604,427.54,558.604
emotion_only,expanded_memory,backend_ready,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,expanded_memory,backend_ready,donation_mix,fasttrack_analysis_ms,4000,13.481,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,expanded_memory,backend_ready,donation_mix,fasttrack_audio_lookup_ms,4000,1.693,1.62,1.443,2.036,2.046,1.341,2.046
emotion_only,expanded_memory,backend_ready,donation_mix,frontend_audio_overhead_ms,4000,3.69,3.533,2.464,4.91,6.528,0.082,7.889
emotion_only,expanded_memory,backend_ready,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,expanded_memory,backend_ready,donation_mix,slowtrack_llm_ms,4000,2371.371,2382.417,2255.911,2499.114,2671.824,1698.275,3044.071
emotion_only,expanded_memory,backend_ready,donation_mix,slowtrack_tts_ms,4000,898.942,894.377,839.341,952.5,1052.606,607.622,1204.671
emotion_only,expanded_memory,capture_stress,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,expanded_memory,capture_stress,chat_only,fasttrack_analysis_ms,4000,13.501,13.25,12.753,14.666,15.146,12.385,15.146
emotion_only,expanded_memory,capture_stress,chat_only,fasttrack_audio_lookup_ms,4000,1.687,1.62,1.443,1.808,2.046,1.341,2.046
emotion_only,expanded_memory,capture_stress,chat_only,frontend_audio_overhead_ms,4000,170.946,167.375,139.853,200.469,244.832,80.245,278.372
emotion_only,expanded_memory,capture_stress,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,expanded_memory,capture_stress,chat_only,slowtrack_llm_ms,4000,2376.913,2386.202,2255.987,2508.989,2673.347,1745.058,2986.624
emotion_only,expanded_memory,capture_stress,chat_only,slowtrack_tts_ms,4000,897.115,894.15,836.863,951.502,1049.945,610.242,1187.174
emotion_only,expanded_memory,capture_stress,donation_mix,donation_emotion_motion_ms,1772,0.012,0.012,0.01,0.014,0.014,0.01,0.014
emotion_only,expanded_memory,capture_stress,donation_mix,donation_readout_tts_ms,1772,484.863,446.238,446.238,509.413,558.604,427.54,558.604
emotion_only,expanded_memory,capture_stress,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
