module_label,length_bin,n,mean_ms,sd_ms,median_ms,p95_ms,min_ms,max_ms
FastTrack 감정/의도 분석 및 검색,10-100자,5,14.565,3.586,13.478,19.049,10.574,19.661
FastTrack 감정/의도 분석 및 검색,100-200자,11,35.797,82.037,11.89,148.256,6.161,283.077
FastTrack 감정/의도 분석 및 검색,200-500자,5,13.474,5.775,12.753,20.971,7.289,22.956
FastTrack 감정/의도 분석 및 검색,500-1000자,20,15.478,6.43,14.078,24.431,8.044,36.244
감정 표정/모션 payload,10-100자,5,0.0,0.0,0.0,0.0,0.0,0.0
감정 표정/모션 payload,100-200자,11,0.0,0.0,0.0,0.0,0.0,0.0
감정 표정/모션 payload,200-500자,5,0.0,0.0,0.0,0.0,0.0,0.0
감정 표정/모션 payload,500-1000자,20,0.0,0.0,0.0,0.0,0.0,0.0
FastTrack 언어 반응 오디오 선택/송출,10-100자,5,2.175,0.76,1.966,3.21,1.62,3.461
FastTrack 언어 반응 오디오 선택/송출,100-200자,11,1.727,0.24,1.772,2.063,1.389,2.08
FastTrack 언어 반응 오디오 선택/송출,200-500자,5,1.825,0.466,1.622,2.452,1.443,2.568
FastTrack 언어 반응 오디오 선택/송출,500-1000자,20,1.862,0.473,1.828,2.453,1.333,3.278
FastTrack 커버 플랜 결정,10-100자,5,0.0,0.0,0.0,0.0,0.0,0.0
FastTrack 커버 플랜 결정,100-200자,11,0.0,0.0,0.0,0.0,0.0,0.0
FastTrack 커버 플랜 결정,200-500자,5,0.0,0.0,0.0,0.0,0.0,0.0
FastTrack 커버 플랜 결정,500-1000자,20,0.0,0.0,0.0,0.0,0.0,0.0
FastTrack 합계,10-100자,5,16.741,3.983,15.683,21.314,12.198,21.627
FastTrack 합계,100-200자,11,37.524,82.053,13.544,150.032,7.753,284.849
FastTrack 합계,200-500자,5,15.3,5.545,14.196,22.666,9.857,24.578
FastTrack 합계,500-1000자,20,17.34,6.322,15.685,26.321,9.891,37.577
