module_label,length_bin,n,mean_ms,sd_ms,median_ms,p95_ms,min_ms,max_ms
SlowTrack LLM 응답 생성,10-100자,0,,,,,,
SlowTrack LLM 응답 생성,100-200자,1,1414.077,,1414.077,1414.077,1414.077,1414.077
SlowTrack LLM 응답 생성,200-500자,41,1474.919,97.102,1485.406,1604.117,1274.929,1625.285
SlowTrack LLM 응답 생성,500-1000자,0,,,,,,
SlowTrack TTS 음성 합성,10-100자,0,,,,,,
SlowTrack TTS 음성 합성,100-200자,1,808.98,,808.98,808.98,808.98,808.98
SlowTrack TTS 음성 합성,200-500자,41,825.359,114.465,839.727,1004.095,532.799,1028.111
SlowTrack TTS 음성 합성,500-1000자,0,,,,,,
SlowTrack 합계(LLM+TTS),10-100자,0,,,,,,
SlowTrack 합계(LLM+TTS),100-200자,1,2223.057,,2223.057,2223.057,2223.057,2223.057
SlowTrack 합계(LLM+TTS),200-500자,41,2300.277,175.096,2322.901,2552.044,1807.728,2591.352
SlowTrack 합계(LLM+TTS),500-1000자,0,,,,,,
