id	emotion	style_tag	carrier	duration_s	latency_ms	audio_path
positive_high-pitched_01	positive	high-pitched	Oh!	0.499	313.005	audio/positive/high-pitched/positive_high-pitched_01.wav
positive_high-pitched_02	positive	high-pitched	Yay!	0.476	71.782	audio/positive/high-pitched/positive_high-pitched_02.wav
positive_high-pitched_03	positive	high-pitched	Aw!	0.372	150.366	audio/positive/high-pitched/positive_high-pitched_03.wav
positive_high-pitched_04	positive	high-pitched	Heh.	0.557	139.01	audio/positive/high-pitched/positive_high-pitched_04.wav
positive_playful_01	positive	playful	Oh!	0.453	137.166	audio/positive/playful/positive_playful_01.wav
positive_playful_02	positive	playful	Yay!	0.441	71.108	audio/positive/playful/positive_playful_02.wav
positive_playful_03	positive	playful	Aw!	0.406	153.959	audio/positive/playful/positive_playful_03.wav
positive_playful_04	positive	playful	Heh.	0.604	147.658	audio/positive/playful/positive_playful_04.wav
positive_energetic_01	positive	energetic	Oh!	0.476	75.622	audio/positive/energetic/positive_energetic_01.wav
positive_energetic_02	positive	energetic	Yay!	0.441	69.017	audio/positive/energetic/positive_energetic_02.wav
positive_energetic_03	positive	energetic	Aw!	0.383	147.433	audio/positive/energetic/positive_energetic_03.wav
positive_energetic_04	positive	energetic	Heh.	0.604	69.761	audio/positive/energetic/positive_energetic_04.wav
positive_smug_01	positive	smug	Oh!	0.43	142.094	audio/positive/smug/positive_smug_01.wav
positive_smug_02	positive	smug	Yay!	0.418	146.336	audio/positive/smug/positive_smug_02.wav
positive_smug_03	positive	smug	Aw!	0.418	70.918	audio/positive/smug/positive_smug_03.wav
positive_smug_04	positive	smug	Heh.	0.604	68.107	audio/positive/smug/positive_smug_04.wav
positive_cute_01	positive	cute	Oh!	0.488	145.168	audio/positive/cute/positive_cute_01.wav
positive_cute_02	positive	cute	Yay!	0.441	67.714	audio/positive/cute/positive_cute_02.wav
positive_cute_03	positive	cute	Aw!	0.43	76.44	audio/positive/cute/positive_cute_03.wav
positive_cute_04	positive	cute	Heh.	0.592	141.151	audio/positive/cute/positive_cute_04.wav
negative_high-pitched_01	negative	high-pitched	Ugh.	0.464	142.242	audio/negative/high-pitched/negative_high-pitched_01.wav
negative_high-pitched_02	negative	high-pitched	Mm.	0.592	85.182	audio/negative/high-pitched/negative_high-pitched_02.wav
negative_high-pitched_03	negative	high-pitched	Oh...	0.604	93.991	audio/negative/high-pitched/negative_high-pitched_03.wav
negative_playful_01	negative	playful	Ugh.	0.499	75.34	audio/negative/playful/negative_playful_01.wav
negative_playful_02	negative	playful	Mm.	0.592	73.814	audio/negative/playful/negative_playful_02.wav
negative_playful_03	negative	playful	Oh...	0.58	149.322	audio/negative/playful/negative_playful_03.wav
negative_energetic_01	negative	energetic	Ugh.	0.522	145.118	audio/negative/energetic/negative_energetic_01.wav
negative_energetic_02	negative	energetic	Mm.	0.58	69.766	audio/negative/energetic/negative_energetic_02.wav
negative_energetic_03	negative	energetic	Oh...	0.557	74.424	audio/negative/energetic/negative_energetic_03.wav
negative_smug_01	negative	smug	Ugh.	0.488	71.271	audio/negative/smug/negative_smug_01.wav
negative_smug_02	negative	smug	Mm.	0.615	147.284	audio/negative/smug/negative_smug_02.wav
negative_smug_03	negative	smug	Oh...	0.592	74.065	audio/negative/smug/negative_smug_03.wav
negative_cute_01	negative	cute	Ugh.	0.499	68.88	audio/negative/cute/negative_cute_01.wav
negative_cute_02	negative	cute	Mm.	0.569	156.474	audio/negative/cute/negative_cute_02.wav
negative_cute_03	negative	cute	Oh...	0.592	69.655	audio/negative/cute/negative_cute_03.wav
ambiguous_high-pitched_01	ambiguous	high-pitched	Huh?	0.522	67.366	audio/ambiguous/high-pitched/ambiguous_high-pitched_01.wav
ambiguous_high-pitched_02	ambiguous	high-pitched	Oh?	0.406	74.442	audio/ambiguous/high-pitched/ambiguous_high-pitched_02.wav
ambiguous_high-pitched_03	ambiguous	high-pitched	Eh?	0.43	70.978	audio/ambiguous/high-pitched/ambiguous_high-pitched_03.wav
ambiguous_playful_01	ambiguous	playful	Huh?	0.522	67.062	audio/ambiguous/playful/ambiguous_playful_01.wav
ambiguous_playful_02	ambiguous	playful	Oh?	0.383	70.026	audio/ambiguous/playful/ambiguous_playful_02.wav
ambiguous_playful_03	ambiguous	playful	Eh?	0.43	117.371	audio/ambiguous/playful/ambiguous_playful_03.wav
ambiguous_energetic_01	ambiguous	energetic	Huh?	0.534	164.344	audio/ambiguous/energetic/ambiguous_energetic_01.wav
ambiguous_energetic_02	ambiguous	energetic	Oh?	0.418	68.756	audio/ambiguous/energetic/ambiguous_energetic_02.wav
ambiguous_energetic_03	ambiguous	energetic	Eh?	0.476	66.77	audio/ambiguous/energetic/ambiguous_energetic_03.wav
ambiguous_smug_01	ambiguous	smug	Huh?	0.522	68.04	audio/ambiguous/smug/ambiguous_smug_01.wav
ambiguous_smug_02	ambiguous	smug	Oh?	0.43	70.394	audio/ambiguous/smug/ambiguous_smug_02.wav
ambiguous_smug_03	ambiguous	smug	Eh?	0.43	70.908	audio/ambiguous/smug/ambiguous_smug_03.wav
ambiguous_cute_01	ambiguous	cute	Huh?	0.522	87.95	audio/ambiguous/cute/ambiguous_cute_01.wav
ambiguous_cute_02	ambiguous	cute	Oh?	0.43	67.538	audio/ambiguous/cute/ambiguous_cute_02.wav
ambiguous_cute_03	ambiguous	cute	Eh?	0.453	68.431	audio/ambiguous/cute/ambiguous_cute_03.wav
neutral_high-pitched_01	neutral	high-pitched	Hm.	0.615	67.062	audio/neutral/high-pitched/neutral_high-pitched_01.wav
neutral_high-pitched_02	neutral	high-pitched	Mm.	0.639	145.965	audio/neutral/high-pitched/neutral_high-pitched_02.wav
neutral_high-pitched_03	neutral	high-pitched	Oh.	0.476	68.429	audio/neutral/high-pitched/neutral_high-pitched_03.wav
neutral_playful_01	neutral	playful	Hm.	0.58	68.564	audio/neutral/playful/neutral_playful_01.wav
