sample,metric,comparison,case_no,baseline_case_no,n,mean_diff,sd_diff,t,df,p_two_tailed,cohen_dz,p_holm_within_metric
all_n32,Overall,Grounded - SlowTrack Only,1,5,32,0.4732142857142858,1.1683152401339134,2.29125166830532,31,0.028904177373032747,0.4050398980159204,0.08671253211909824
all_n32,Overall,Emotion Only - SlowTrack Only,2,5,32,0.4308035714285715,0.9352796287052165,2.6056303793400657,31,0.013964432275405558,0.4606147276242591,0.05585772910162223
all_n32,Overall,Intent Only - SlowTrack Only,3,5,32,0.3325892857142858,1.0709844509640254,1.7567100180912805,31,0.0888422864497953,0.31054539159267175,0.1776845728995906
all_n32,Overall,Neutral Random - SlowTrack Only,4,5,32,0.2120535714285714,0.9919830676566238,1.209250627119553,31,0.235708632352023,0.21376732964758025,0.235708632352023
all_n32,Perceived Latency,Grounded - SlowTrack Only,1,5,32,0.7604166666666667,1.4020833832622337,3.067981764543626,31,0.004448182667118328,0.5423476775663669,0.01779273066847331
all_n32,Perceived Latency,Emotion Only - SlowTrack Only,2,5,32,0.53125,1.535387532368285,1.9572933586398207,31,0.05936923621015833,0.3460038516664026,0.11873847242031665
all_n32,Perceived Latency,Intent Only - SlowTrack Only,3,5,32,0.5520833333333333,1.3430009060651285,2.3254302630300185,31,0.026765692293712506,0.41108187704123567,0.08029707688113752
all_n32,Perceived Latency,Neutral Random - SlowTrack Only,4,5,32,0.4166666666666667,1.3625824101215895,1.7298202196407562,31,0.09360895273183845,0.3057919018853954,0.11873847242031665
all_n32,Conversational Naturalness,Grounded - SlowTrack Only,1,5,32,0.5,1.6752467319482303,1.688364508227912,31,0.10137801568870741,0.2984634982206617,0.30413404706612224
all_n32,Conversational Naturalness,Emotion Only - SlowTrack Only,2,5,32,0.59375,1.4670438786673983,2.289472904987039,31,0.029019583403870897,0.40472545411479977,0.11607833361548359
all_n32,Conversational Naturalness,Intent Only - SlowTrack Only,3,5,32,0.328125,1.5994423171238317,1.1605015577882705,31,0.2547040371618241,0.20514963027240948,0.5094080743236482
all_n32,Conversational Naturalness,Neutral Random - SlowTrack Only,4,5,32,0.046875,1.2595402066857828,0.21052527068006968,31,0.834635423928968,0.03721596162725268,0.834635423928968
all_n32,Reaction Appropriateness,Grounded - SlowTrack Only,1,5,32,0.09374999999999994,1.4071868145995383,0.3768725519509884,31,0.7088358665928989,0.06662228428190582,1.0
all_n32,Reaction Appropriateness,Emotion Only - SlowTrack Only,2,5,32,0.052083333333333384,1.1765613434845117,0.2504143342172227,31,0.8039191701430028,0.044267418457828174,1.0
all_n32,Reaction Appropriateness,Intent Only - SlowTrack Only,3,5,32,0.18749999999999997,1.2499103910533278,0.8485889703548899,31,0.40261535173262764,0.15001075384451318,1.0
all_n32,Reaction Appropriateness,Neutral Random - SlowTrack Only,4,5,32,-0.010416666666666713,1.2047825098570064,-0.048909711600870605,31,0.9613050140740822,-0.008646097184713488,1.0
all_n32,Social Presence,Grounded - SlowTrack Only,1,5,32,0.515625,1.405544177706226,2.0752214826535,31,0.04635322326205893,0.36685079571207274,0.1390596697861768
all_n32,Social Presence,Emotion Only - SlowTrack Only,2,5,32,0.484375,1.1322570593231454,2.419979415925078,31,0.021576011258729544,0.4277959638331208,0.08630404503491818
all_n32,Social Presence,Intent Only - SlowTrack Only,3,5,32,0.53125,1.5499089463370046,1.938955076777388,31,0.06165637334219731,0.34276207080134347,0.1390596697861768
all_n32,Social Presence,Neutral Random - SlowTrack Only,4,5,32,0.078125,1.4374561704398099,0.3074471050525137,31,0.7605591358575983,0.054349483209701316,0.7605591358575983
all_n32,Character Appeal,Grounded - SlowTrack Only,1,5,32,0.34375,1.4615364209206076,1.3304790906532158,31,0.1930654193293455,0.23519769680695005,0.386130838658691
all_n32,Character Appeal,Emotion Only - SlowTrack Only,2,5,32,0.578125,1.2055608720131192,2.7127364025399405,31,0.010791866875676126,0.4795485764518979,0.043167467502704504
all_n32,Character Appeal,Intent Only - SlowTrack Only,3,5,32,-0.046875,1.4105556843704106,-0.18798622832342096,31,0.8521125857952683,-0.033231584204293396,0.8521125857952683
all_n32,Character Appeal,Neutral Random - SlowTrack Only,4,5,32,0.46875,1.4915758066879383,1.777751031868487,31,0.08525693692911562,0.31426495247389735,0.25577081078734687
all_n32,Engagement,Grounded - SlowTrack Only,1,5,32,0.671875,1.377289150188081,2.7595504897128347,31,0.009628127347878657,0.48782421607565085,0.03851250939151463
all_n32,Engagement,Emotion Only - SlowTrack Only,2,5,32,0.484375,1.322780398959316,2.0714237822495476,31,0.0467295924016875,0.3661794507849353,0.1401887772050625
all_n32,Engagement,Intent Only - SlowTrack Only,3,5,32,0.40625,1.4052751997729036,1.6353359393431681,31,0.11209377096721185,0.2890892830569067,0.2241875419344237
all_n32,Engagement,Neutral Random - SlowTrack Only,4,5,32,0.28125,1.4587748947484622,1.0906345203754468,31,0.28383872842231517,0.19279876628840406,0.28383872842231517
