sample,metric,comparison,case_no,baseline_case_no,n,mean_diff,sd_diff,t,df,p_two_tailed,cohen_dz,p_holm_within_metric
english_ge4,Overall,Grounded - SlowTrack Only,1,5,19,0.3157894736842106,1.2720427866921609,1.0821132886597533,18,0.293486531054469,0.2482538142489643,0.5190533940480715
english_ge4,Overall,Emotion Only - SlowTrack Only,2,5,19,0.706766917293233,0.9816614222172909,3.138277107967123,18,0.005682525264002258,0.7199701458134616,0.022730101056009033
english_ge4,Overall,Intent Only - SlowTrack Only,3,5,19,0.42105263157894735,1.2001735364038764,1.5292170801097213,18,0.14359420870621253,0.35082645868076934,0.4307826261186376
english_ge4,Overall,Neutral Random - SlowTrack Only,4,5,19,0.3007518796992481,1.1260114997641657,1.16423948686447,18,0.25952669702403575,0.2670948562800986,0.5190533940480715
english_ge4,Perceived Latency,Grounded - SlowTrack Only,1,5,19,0.7719298245614034,1.5754781033264407,2.1357098455788925,18,0.04669563087614392,0.4899654415580657,0.12794706198597616
english_ge4,Perceived Latency,Emotion Only - SlowTrack Only,2,5,19,0.8596491228070174,1.5725884515494568,2.3827744948318608,18,0.028412739507515994,0.5466459593799085,0.11365095803006398
english_ge4,Perceived Latency,Intent Only - SlowTrack Only,3,5,19,0.7368421052631577,1.4722911823196057,2.1815115873529973,18,0.042649020661992054,0.5004730817597219,0.12794706198597616
english_ge4,Perceived Latency,Neutral Random - SlowTrack Only,4,5,19,0.6140350877192982,1.4625495998542368,1.830034957736343,18,0.08385626134876345,0.4198388128378656,0.12794706198597616
english_ge4,Conversational Naturalness,Grounded - SlowTrack Only,1,5,19,0.39473684210526316,1.8527678046673026,0.9286743863396207,18,0.36534491677222847,0.21305251586889765,0.7306898335444569
english_ge4,Conversational Naturalness,Emotion Only - SlowTrack Only,2,5,19,1.0789473684210527,1.5569125242566246,3.0207365353374995,18,0.007346332326419569,0.6930044890840705,0.029385329305678276
english_ge4,Conversational Naturalness,Intent Only - SlowTrack Only,3,5,19,0.5,1.6583123951777,1.3142574813455419,18,0.20526197566331805,0.30151134457776363,0.6157859269899542
english_ge4,Conversational Naturalness,Neutral Random - SlowTrack Only,4,5,19,0.15789473684210525,1.3338814662787213,0.5159732847415338,18,0.6121531708218604,0.1183723897765833,0.7306898335444569
english_ge4,Reaction Appropriateness,Grounded - SlowTrack Only,1,5,19,-0.19298245614035084,1.362259331892953,-0.6174969805662237,18,0.5446404459332292,-0.14166352295945622,1.0
english_ge4,Reaction Appropriateness,Emotion Only - SlowTrack Only,2,5,19,0.05263157894736847,1.3978076215447544,0.16412539918549632,18,0.8714613305594465,0.03765294890093954,1.0
english_ge4,Reaction Appropriateness,Intent Only - SlowTrack Only,3,5,19,0.08771929824561403,1.1591935535564748,0.32984962285015684,18,0.7453213043266433,0.07567269329309674,1.0
english_ge4,Reaction Appropriateness,Neutral Random - SlowTrack Only,4,5,19,-0.12280701754385963,1.3435282751475153,-0.39843104825801756,18,0.6949989732165001,-0.0914063513329303,1.0
english_ge4,Social Presence,Grounded - SlowTrack Only,1,5,19,0.18421052631578946,1.3965286956095169,0.5749649621030632,18,0.5724323839455576,0.13190600873073396,1.0
english_ge4,Social Presence,Emotion Only - SlowTrack Only,2,5,19,0.7105263157894737,1.0181108523153748,3.0420188530641536,18,0.007013458113380278,0.6978869876237973,0.02805383245352111
english_ge4,Social Presence,Intent Only - SlowTrack Only,3,5,19,0.5789473684210527,1.4265650070355171,1.768985682482362,18,0.09383758049587665,0.40583314855320757,0.28151274148762995
english_ge4,Social Presence,Neutral Random - SlowTrack Only,4,5,19,0.07894736842105263,1.2830428014720932,0.2682089797869674,18,0.7915880298275026,0.06153135992850179,1.0
english_ge4,Character Appeal,Grounded - SlowTrack Only,1,5,19,0.21052631578947367,1.7022516907653376,0.5390876921788593,18,0.5964318686290269,0.12367519852180049,1.0
english_ge4,Character Appeal,Emotion Only - SlowTrack Only,2,5,19,0.8421052631578947,1.4724566733764224,2.4928758912219715,18,0.02264068082548909,0.5719049520329192,0.09056272330195636
english_ge4,Character Appeal,Intent Only - SlowTrack Only,3,5,19,-0.02631578947368421,1.7909780398378108,-0.06404761218940949,18,0.9496382370048959,-0.014693529953090515,1.0
english_ge4,Character Appeal,Neutral Random - SlowTrack Only,4,5,19,0.7105263157894737,1.7819760370137496,1.738021355462642,18,0.0992844390331371,0.39872944474617045,0.2978533170994113
english_ge4,Engagement,Grounded - SlowTrack Only,1,5,19,0.5526315789473685,1.5446568914424659,1.5594823801882622,18,0.13629102005855875,0.3577697947091006,0.28846955404442154
english_ge4,Engagement,Emotion Only - SlowTrack Only,2,5,19,0.9473684210526315,1.3426211598762208,3.0756875677803395,18,0.0065166060212698,0.7056111205188897,0.0260664240850792
english_ge4,Engagement,Intent Only - SlowTrack Only,3,5,19,0.6578947368421053,1.6334407411873748,1.7556172079419587,18,0.09615651801480718,0.40276621015579106,0.28846955404442154
english_ge4,Engagement,Neutral Random - SlowTrack Only,4,5,19,0.42105263157894735,1.8277426719464098,1.0041489423727294,18,0.32861564087777917,0.23036756652978815,0.32861564087777917
