metric,comparison,case_no,n,W_plus,z,p,r,p_holm_within_metric
Overall,Grounded - SlowTrack Only,1,30,344.0,2.2833271753139397,0.022411103421090317,0.41687660002799926,0.07397661562031388
Overall,Emotion Only - SlowTrack Only,2,30,347.5,2.3555731792167323,0.01849415390507847,0.43006685537038786,0.07397661562031388
Overall,Intent Only - SlowTrack Only,3,30,305.5,1.4924679346886274,0.13557651722731245,0.2724861180607027,0.2711530344546249
Overall,Neutral Random - SlowTrack Only,4,30,289.0,1.1521926439035564,0.24924191982066413,0.21036063388583168,0.2711530344546249
Perceived Latency,Grounded - SlowTrack Only,1,25,260.0,2.6138764325305126,0.008952140692962018,0.5227752865061025,0.035808562771848074
Perceived Latency,Emotion Only - SlowTrack Only,2,24,212.5,1.7734202636083076,0.07615909370408347,0.3619978954460325,0.15231818740816694
Perceived Latency,Intent Only - SlowTrack Only,3,26,257.0,2.060478454931543,0.039352823469445575,0.40409307111667114,0.11805847040833672
Perceived Latency,Neutral Random - SlowTrack Only,4,25,217.5,1.4693550216126916,0.14173652025364136,0.2938710043225383,0.15231818740816694
Conversational Naturalness,Grounded - SlowTrack Only,1,28,283.0,1.8198486437790622,0.06878205758300227,0.34391906680125506,0.2063461727490068
Conversational Naturalness,Emotion Only - SlowTrack Only,2,30,349.0,2.4154220595049907,0.015716985809094197,0.44099371596215636,0.06286794323637679
Conversational Naturalness,Intent Only - SlowTrack Only,3,29,264.0,1.0017175528661826,0.3164800266504,0.1860142797373746,0.6329600533008
Conversational Naturalness,Neutral Random - SlowTrack Only,4,24,161.5,0.3176419266710873,0.7507565670475442,0.06483838677155958,0.7507565670475442
Reaction Appropriateness,Grounded - SlowTrack Only,1,26,190.0,0.35593060574454666,0.7218925346850655,0.06980373477601322,1.0
Reaction Appropriateness,Emotion Only - SlowTrack Only,2,26,177.5,0.038178631503420414,0.969545258062597,0.0074874456553157285,1.0
Reaction Appropriateness,Intent Only - SlowTrack Only,3,25,175.5,0.3367633361090086,0.7362953137956489,0.06735266722180172,1.0
Reaction Appropriateness,Neutral Random - SlowTrack Only,4,25,157.0,-0.13485223234378915,0.8927287075302082,0.02697044646875783,1.0
Social Presence,Grounded - SlowTrack Only,1,21,171.5,1.9437821041580927,0.05192173271335143,0.424168029847857,0.1557651981400543
Social Presence,Emotion Only - SlowTrack Only,2,25,247.5,2.297884596328545,0.021568358217988637,0.459576919265709,0.08627343287195455
Social Presence,Intent Only - SlowTrack Only,3,26,251.0,1.9164732545885892,0.05530488434723568,0.37585132778561114,0.1557651981400543
Social Presence,Neutral Random - SlowTrack Only,4,26,184.5,0.21743113028605396,0.8278723729903044,0.04264175293042786,0.8278723729903044
Character Appeal,Grounded - SlowTrack Only,1,25,215.5,1.4222342304989999,0.1549582646723322,0.2844468460998,0.3099165293446644
Character Appeal,Emotion Only - SlowTrack Only,2,21,189.5,2.5891278573854266,0.009621936115947971,0.5649940185898832,0.038487744463791884
Character Appeal,Intent Only - SlowTrack Only,3,23,128.5,-0.2755245487151821,0.782913268241836,0.05745083983368616,0.782913268241836
Character Appeal,Neutral Random - SlowTrack Only,4,22,177.0,1.632122928294128,0.10265359254530937,0.3479697774927247,0.3079607776359281
Engagement,Grounded - SlowTrack Only,1,23,223.5,2.601262233457332,0.00928814250476706,0.5424006704181532,0.03715257001906824
Engagement,Emotion Only - SlowTrack Only,2,24,219.0,1.976498405389815,0.048098356170299006,0.40345104755247163,0.14429506851089702
Engagement,Intent Only - SlowTrack Only,3,27,251.0,1.4907722035112072,0.13602131195015632,0.28689924433253566,0.27204262390031264
Engagement,Neutral Random - SlowTrack Only,4,25,199.0,0.9898368450290077,0.322253872463385,0.19796736900580153,0.322253872463385
